time,device,signals,fault
35,SN74HC175,"0x0,0x1",0x0
35,uln2803a3,"0x0,0x1",0x0
35,JB1910,"0x1,0x0",0x0
36,ADS83441,"0x0,0x1",0x0
36,pc1042,"0x0,0x1",0x0
37,ADS83442,"0x0,0x1",0x0
37,pc1042,"0x0,0x1",0x0
38,JB1910,"0x0,0x0",0x5
38,pc1041,"0x1,0x1",0x5
39,W25Q5121,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x0
39,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x0
40,W25Q5122,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x0
40,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x0
41,MAX4881,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
42,MAX4882,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x3
43,MAX4883,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
44,MAX4884,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
45,TJA1050,"0x0,0x1,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x1,0x1,0x0,0x0,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x3
45,pc1041,"0x0,0x1,0x1,0x0,0x1,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x1,0x0,0x0,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x0,0x0,0x0",0x3
46,SN74AHC2731,"0x0,0x1",0x0
46,uln2803a1,"0x1,0x1",0x0
46,pc1041,"0x0,0x0",0x0
47,SN74AHC2732,"0x0,0x1",0x0
47,uln2803a2,"0x0,0x1",0x0
47,pc1041,"0x1,0x0",0x0
48,SN74HC175,"0x0,0x1",0x0
48,uln2803a3,"0x0,0x1",0x0
48,JB1910,"0x1,0x0",0x0
49,ADS83441,"0x0,0x1",0x0
49,pc1042,"0x0,0x0",0x0
50,ADS83442,"0x0,0x1",0x0
50,pc1042,"0x0,0x1",0x0
51,JB1910,"0x0,0x1",0x0
51,pc1041,"0x0,0x1",0x0
52,W25Q5121,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x0",0x3
52,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x0",0x3
53,W25Q5122,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x3
